Player,Season,MPPG,Outcome
Marvin Williams,2018-19,28.44,Successful
Cody Zeller,2014-15,23.984,Not Successful
Lavoy Allen,2015-16,20.241,Not Successful
Carmelo Anthony,2017-18,32.064,Successful
Ryan Arcidiacono,2018-19,24.21,Successful
Carlos Arroyo,2009-10,22.014,Not Successful
Matt Barnes,2006-07,23.855,Not Successful
Nicolas Batum,2008-09,18.405,Not Successful
Nicolas Batum,2018-19,31.387,Successful
Bradley Beal,2014-15,33.444,Successful
Marco Belinelli,2017-18,24.338,Successful
Raja Bell,2003-04,24.634,Successful
Andray Blatche,2013-14,22.164,Not Successful
Eric Bledsoe,2012-13,20.434,Not Successful
Matt Bonner,2009-10,17.862,Not Successful
Josh Boone,2007-08,25.329,Successful
Ronnie Brewer,2009-10,30.034,Successful
Devin Brown,2004-05,18.478,Not Successful
Alec Burks,2019-20,26.576,Successful
Jose Calderon,2010-11,30.912,Successful
Kentavious Caldwell-Pope,2019-20,25.536,Successful
Marcus Camby,2010-11,26.102,Successful
Speedy Claxton,2004-05,30.097,Successful
Robert Covington,2019-20,30.529,Successful
Erick Dampier,2009-10,23.273,Not Successful
Glen Davis,2008-09,21.539,Not Successful
Dewayne Dedmon,2017-18,24.871,Successful
Keyon Dooling,2007-08,18.528,Not Successful
Keyon Dooling,2008-09,26.935,Successful
Derek Fisher,2004-05,30.027,Successful
Derek Fisher,2010-11,28.012,Successful
Randy Foye,2012-13,27.427,Successful
Channing Frye,2011-12,26.078,Successful
Channing Frye,2016-17,18.892,Not Successful
Dan Gadzuric,2003-04,16.8,Not Successful
Marc Gasol,2015-16,34.442,Successful
Pau Gasol,2012-13,33.776,Successful
Manu Ginobili,2014-15,22.671,Not Successful
Aaron Gordon,2016-17,28.725,Successful
Aaron Gordon,2019-20,32.532,Successful
Devin Harris,2005-06,22.768,Not Successful
Juwan Howard,2005-06,31.713,Successful
Serge Ibaka,2009-10,18.123,Not Successful
James Jones,2007-08,22,Not Successful
Jumaine Jones,2004-05,24.079,Successful
Kyle Korver,2008-09,24.026,Successful
Kyle Korver,2016-17,26.164,Successful
Carl Landry,2007-08,16.929,Not Successful
Ty Lawson,2009-10,20.277,Not Successful
Tyronn Lue,2004-05,28.671,Successful
Shawn Marion,2011-12,30.46,Successful
Wesley Matthews,2015-16,33.897,Successful
Nazr Mohammed,2003-04,20.138,Not Successful
Timofey Mozgov,2015-16,17.447,Not Successful
Rasho Nesterovic,2005-06,18.938,Not Successful
Lucas Nogueira,2016-17,19.088,Not Successful
Kelly Olynyk,2019-20,19.403,Not Successful
Kelly Oubre,2017-18,27.543,Successful
Vladimir Radmanovic,2004-05,29.46,Successful
Ricky Rubio,2018-19,27.926,Successful
John Salmons,2007-08,31.074,Successful
Dennis Schroder,2016-17,31.456,Successful
Ramon Sessions,2011-12,26.672,Successful
JR Smith,2006-07,23.349,Not Successful
JR Smith,2007-08,19.203,Not Successful
JR Smith,2013-14,32.716,Successful
JR Smith,2014-15,29.714,Successful
Maurice Taylor,2003-04,27.747,Successful
Sasha Vujacic,2008-09,16.163,Not Successful
Hakim Warrick,2006-07,26.244,Successful
Delonte West,2006-07,32.159,Successful
Deron Williams,2015-16,32.4,Successful
Reggie Williams,2010-11,20.325,Not Successful
Metta World Peace,2005-06,39.411,Successful
Lorenzen Wright,2005-06,21.654,Not Successful
Chris Andersen,2014-15,18.867,Not Successful
Derek Anderson,2003-04,35.49,Successful
Chucky Atkins,2005-06,24.127,Successful
Marvin Bagley,2018-19,25.274,Successful
Harrison Barnes,2018-19,32.896,Successful
Raja Bell,2008-09,34.552,Successful
Patrick Beverley,2019-20,26.314,Successful
Keith Bogans,2010-11,17.817,Not Successful
Trevor Booker,2014-15,19.797,Not Successful
Chris Bosh,2014-15,35.364,Successful
Elton Brand,2013-14,19.37,Not Successful
Aaron Brooks,2008-09,24.975,Successful
Kwame Brown,2005-06,27.472,Successful
Caron Butler,2012-13,24.09,Successful
Marcus Camby,2011-12,22.915,Not Successful
Omri Casspi,2015-16,27.246,Successful
Wilson Chandler,2014-15,31.679,Successful
Nick Collison,2010-11,21.465,Not Successful
Nick Collison,2013-14,16.704,Not Successful
Jamal Crawford,2014-15,26.609,Successful
Samuel Dalembert,2005-06,26.682,Successful
Boris Diaw,2014-15,24.494,Successful
Monta Ellis,2014-15,33.738,Successful
Steve Francis,2005-06,34.186,Successful
Drew Gooden,2011-12,26.232,Successful
Jeff Green,2018-19,27.234,Successful
Othella Harrington,2004-05,18.157,Not Successful
Chuck Hayes,2009-10,21.622,Not Successful
Gordon Hayward,2013-14,36.364,Successful
Gerald Henderson,2013-14,31.961,Successful
Gerald Henderson,2014-15,28.938,Successful
John Henson,2014-15,18.328,Not Successful
Roy Hibbert,2010-11,27.704,Successful
Kirk Hinrich,2007-08,31.733,Successful
Robert Horry,2005-06,18.762,Not Successful
Danuel House,2019-20,30.365,Successful
Dwight Howard,2014-15,29.829,Successful
Juwan Howard,2003-04,35.519,Successful
Ersan Ilyasova,2019-20,15.651,Not Successful
Anthony Johnson,2003-04,21.89,Not Successful
Tyus Jones,2017-18,17.89,Not Successful
Chris Kaman,2007-08,37.196,Successful
Frank Kaminsky,2017-18,23.228,Not Successful
Linas Kleiza,2008-09,22.244,Not Successful
Kyle Lowry,2008-09,21.805,Not Successful
Chris Mihm,2004-05,24.933,Successful
CJ Miles,2014-15,26.3,Successful
Darius Miles,2003-04,26.316,Successful
Nazr Mohammed,2009-10,16.966,Not Successful
Marcus Morris,2019-20,31.226,Successful
Kelly Olynyk,2014-15,22.234,Not Successful
Bo Outlaw,2003-04,19.585,Not Successful
Jabari Parker,2015-16,31.684,Successful
Tony Parker,2009-10,30.857,Successful
Patrick Patterson,2015-16,25.57,Successful
Mickael Pietrus,2006-07,26.903,Successful
Mickael Pietrus,2009-10,22.493,Not Successful
Mason Plumlee,2017-18,19.446,Not Successful
Dwight Powell,2019-20,26.525,Successful
Tayshaun Prince,2012-13,32.085,Successful
Willie Reed,2016-17,14.521,Not Successful
Rajon Rondo,2017-18,26.231,Successful
Terrence Ross,2015-16,23.932,Not Successful
John Salmons,2006-07,27.025,Successful
Dario Saric,2019-20,24.727,Successful
Dennis Schroder,2019-20,30.754,Successful
Landry Shamet,2018-19,22.81,Not Successful
Josh Smith,2005-06,31.988,Successful
Amar'e Stoudemire,2014-15,21.102,Not Successful
Jason Terry,2014-15,21.312,Not Successful
Jason Thompson,2012-13,27.866,Successful
PJ Tucker,2016-17,27.605,Successful
Ronny Turiaf,2008-09,21.468,Not Successful
Greivis Vasquez,2013-14,22.519,Not Successful
Nikola Vucevic,2017-18,29.526,Successful
Sasha Vujacic,2007-08,17.764,Not Successful
Antoine Walker,2005-06,26.817,Successful
Ben Wallace,2007-08,30.625,Successful
Rasheed Wallace,2009-10,22.532,Not Successful
Jiri Welsch,2003-04,26.901,Successful
David Wesley,2005-06,33.408,Successful
Derrick White,2018-19,25.791,Successful
Deron Williams,2014-15,31.088,Successful
Derrick Williams,2015-16,17.938,Not Successful
Cody Zeller,2019-20,23.121,Not Successful
Cole Aldrich,2015-16,13.333,Not Successful
Kyle Anderson,2015-16,15.962,Not Successful
Ryan Anderson,2014-15,27.459,Successful
Matt Barnes,2013-14,27.54,Successful
Nicolas Batum,2009-10,24.811,Successful
Nicolas Batum,2017-18,30.953,Successful
Davis Bertans,2019-20,29.315,Successful
Patrick Beverley,2014-15,30.839,Successful
Devin Booker,2018-19,35.031,Successful
Carlos Boozer,2005-06,31.061,Successful
Elton Brand,2009-10,30.224,Successful
Devin Brown,2006-07,28.655,Successful
Kwame Brown,2010-11,25.97,Successful
Caron Butler,2009-10,37.608,Successful
Brian Cardinal,2004-05,24.707,Successful
Wilson Chandler,2016-17,30.944,Successful
Nick Collison,2011-12,20.746,Not Successful
Dante Cunningham,2012-13,25.125,Successful
Carlos Delfino,2010-11,32.449,Successful
Carlos Delfino,2012-13,25.209,Successful
Dan Dickau,2004-05,29.437,Successful
Goran Dragic,2019-20,28.186,Successful
Channing Frye,2005-06,24.185,Successful
Ben Gordon,2004-05,24.415,Successful
Al Harrington,2009-10,30.486,Successful
Udonis Haslem,2011-12,24.828,Successful
Luther Head,2005-06,28.875,Successful
Luther Head,2007-08,18.89,Not Successful
Solomon Hill,2014-15,29.037,Successful
Josh Howard,2003-04,23.716,Not Successful
Bobby Jackson,2005-06,25,Successful
Jaren Jackson,2019-20,28.456,Successful
Jonas Jerebko,2014-15,16.4,Not Successful
Cory Joseph,2015-16,25.575,Successful
Cory Joseph,2018-19,25.159,Successful
Maxi Kleber,2018-19,21.155,Not Successful
Andray Blatche,2009-10,27.852,Successful
Kosta Koufos,2013-14,16.863,Not Successful
Kosta Koufos,2015-16,19,Not Successful
Jeremy Lin,2015-16,26.256,Successful
OJ Mayo,2011-12,26.833,Successful
JaVale McGee,2016-17,9.597,Not Successful
Patty Mills,2018-19,23.268,Not Successful
Paul Millsap,2019-20,24.314,Successful
Nikola Mirotic,2018-19,27.065,Successful
Anthony Morrow,2009-10,29.246,Successful
Alonzo Mourning,2006-07,20.416,Not Successful
Larry Nance,2016-17,22.889,Not Successful
Gary Neal,2010-11,21.063,Not Successful
Jameer Nelson,2011-12,29.93,Successful
Victor Oladipo,2014-15,35.736,Successful
Bobby Portis,2017-18,22.507,Not Successful
Vladimir Radmanovic,2007-08,22.815,Not Successful
Julius Randle,2016-17,28.811,Successful
Quentin Richardson,2006-07,33.082,Successful
Terrence Ross,2016-17,25.064,Successful
Brandon Rush,2011-12,26.415,Successful
Dario Saric,2018-19,24.975,Successful
Tomas Satoransky,2019-20,28.892,Successful
Craig Smith,2007-08,20.091,Not Successful
Darko Milicic,2006-07,23.913,Not Successful
Jerry Stackhouse,2004-05,28.875,Successful
Daniel Theis,2017-18,14.857,Not Successful
Daniel Theis,2018-19,13.758,Not Successful
Marcus Thornton,2010-11,24.315,Successful
PJ Tucker,2015-16,30.976,Successful
Keith Van Horn,2004-05,24.226,Successful
Charlie Villanueva,2009-10,23.692,Not Successful
Dwyane Wade,2014-15,31.79,Successful
John Wall,2011-12,36.152,Successful
Brad Wanamaker,2019-20,19.282,Not Successful
Martell Webster,2007-08,28.427,Successful
David West,2017-18,13.685,Not Successful
Brandan Wright,2011-12,16.143,Not Successful
Thaddeus Young,2013-14,34.405,Successful
LaMarcus Aldridge,2006-07,22.095,Not Successful
Rafer Alston,2005-06,38.587,Successful
Joel Anthony,2011-12,21.078,Not Successful
Trevor Ariza,2006-07,22.421,Not Successful
Trevor Ariza,2010-11,34.667,Successful
DJ Augustin,2014-15,23.951,Not Successful
Kelenna Azubuike,2007-08,21.383,Not Successful
Michael Beasley,2008-09,24.802,Successful
Marco Belinelli,2010-11,24.463,Successful
DeJuan Blair,2013-14,15.564,Not Successful
Carlos Boozer,2013-14,28.171,Successful
Elton Brand,2012-13,21.208,Not Successful
Shannon Brown,2009-10,20.732,Not Successful
Chase Budinger,2010-11,22.282,Not Successful
Tyson Chandler,2008-09,32.111,Successful
Marquese Chriss,2019-20,20.271,Not Successful
Jordan Clarkson,2019-20,24.014,Successful
Pat Connaughton,2019-20,18.552,Not Successful
Jamal Crawford,2010-11,30.224,Successful
Austin Croshere,2003-04,13.649,Not Successful
Dante Cunningham,2011-12,17.563,Not Successful
Dale Davis,2004-05,21.426,Not Successful
Cristiano Felicio,2016-17,15.758,Not Successful
Raymond Felton,2007-08,37.62,Successful
Landry Fields,2011-12,28.697,Successful
Adonal Foyle,2004-05,21.795,Not Successful
Langston Galloway,2018-19,21.813,Not Successful
Devean George,2003-04,23.793,Not Successful
Marcin Gortat,2009-10,13.432,Not Successful
Marcin Gortat,2012-13,30.754,Successful
Devonte' Graham,2019-20,35.095,Successful
Danny Green,2016-17,26.574,Successful
Danny Green,2019-20,24.809,Successful
Tyler Hansbrough,2014-15,14.297,Not Successful
Maurice Harkless,2018-19,23.583,Not Successful
Josh Hart,2017-18,23.19,Not Successful
Brendan Haywood,2006-07,22.597,Not Successful
Willy Hernangomez,2016-17,18.389,Not Successful
Jrue Holiday,2014-15,32.575,Successful
Jrue Holiday,2015-16,28.169,Successful
Rondae Hollis-Jefferson,2019-20,18.7,Not Successful
Richard Jefferson,2006-07,35.564,Successful
Jonas Jerebko,2017-18,15.324,Not Successful
Damon Jones,2005-06,25.476,Successful
Cory Joseph,2016-17,25.038,Successful
Kyle Korver,2017-18,21.562,Not Successful
Alex Len,2014-15,22,Not Successful
Kyle Lowry,2007-08,25.476,Successful
Corey Maggette,2010-11,20.91,Not Successful
Ian Mahinmi,2011-12,18.672,Not Successful
Boban Marjanovic,2015-16,9.407,Not Successful
Roger Mason,2007-08,21.35,Not Successful
OJ Mayo,2008-09,38.049,Successful
Nazr Mohammed,2007-08,20.122,Not Successful
Greg Monroe,2017-18,20.392,Not Successful
Mike Muscala,2016-17,17.671,Not Successful
Anthony Parker,2008-09,32.963,Successful
Chandler Parsons,2011-12,28.635,Successful
Ruben Patterson,2004-05,27.957,Successful
Mason Plumlee,2019-20,17.328,Not Successful
Pablo Prigioni,2013-14,19.439,Not Successful
Luke Ridnour,2008-09,28.236,Successful
Andre Roberson,2015-16,22.186,Not Successful
Luis Scola,2011-12,31.318,Successful
Bobby Simmons,2008-09,24.352,Successful
Tony Snell,2016-17,29.2,Successful
Hedo Turkoglu,2004-05,26.224,Successful
Hedo Turkoglu,2009-10,30.703,Successful
Dwyane Wade,2016-17,29.867,Successful
TJ Warren,2017-18,32.954,Successful
Hakim Warrick,2010-11,17.7,Not Successful
Chris Webber,2004-05,35.373,Successful
Chris Webber,2006-07,29.852,Successful
Bonzi Wells,2005-06,32.385,Successful
Chris Wilcox,2007-08,28.048,Successful
Aaron Williams,2003-04,18.569,Not Successful
Lou Williams,2008-09,23.691,Not Successful
Dorell Wright,2011-12,27.049,Successful
Al-Farouq Aminu,2014-15,18.459,Not Successful
Joel Anthony,2010-11,19.507,Not Successful
JJ Barea,2017-18,23.232,Not Successful
Will Barton,2016-17,28.417,Successful
Shane Battier,2011-12,23.062,Not Successful
Charlie Bell,2005-06,21.746,Not Successful
Steve Blake,2009-10,26.988,Successful
Tony Bradley,2019-20,11.431,Not Successful
Aaron Brooks,2014-15,22.988,Not Successful
Wendell Carter,2019-20,29.209,Successful
Wilson Chandler,2017-18,31.703,Successful
Jamal Crawford,2008-09,38.138,Successful
Jamal Crawford,2015-16,26.911,Successful
Eddy Curry,2005-06,25.903,Successful
Wayne Ellington,2016-17,24.194,Successful
Dorian Finney-Smith,2018-19,24.506,Successful
TJ Ford,2007-08,23.51,Not Successful
Evan Fournier,2017-18,32.228,Successful
Langston Galloway,2015-16,24.793,Successful
Rudy Gay,2008-09,37.278,Successful
Taj Gibson,2012-13,22.446,Not Successful
Shai Gilgeous-Alexander,2018-19,26.512,Successful
Drew Gooden,2007-08,30.754,Successful
Marcin Gortat,2008-09,12.603,Not Successful
Jerian Grant,2017-18,22.784,Not Successful
Jeff Green,2013-14,34.207,Successful
Devin Harris,2012-13,24.5,Successful
Gerald Henderson,2012-13,31.368,Successful
John Henson,2013-14,26.514,Successful
JJ Hickson,2013-14,26.942,Successful
Jrue Holiday,2012-13,37.513,Successful
Jaren Jackson,2018-19,26.121,Successful
Sarunas Jasikevicius,2005-06,20.76,Not Successful
Brandon Jennings,2014-15,28.61,Successful
Jonas Jerebko,2011-12,22.938,Not Successful
Jonas Jerebko,2018-19,16.685,Not Successful
Joe Johnson,2003-04,40.622,Successful
Chris Kaman,2014-15,18.892,Not Successful
Frank Kaminsky,2015-16,21.086,Not Successful
Michael Kidd-Gilchrist,2017-18,25,Successful
Kosta Koufos,2014-15,16.642,Not Successful
Jeremy Lamb,2013-14,19.718,Not Successful
Courtney Lee,2012-13,24.885,Successful
Shaun Livingston,2014-15,18.821,Not Successful
Corey Maggette,2008-09,31.137,Successful
Ian Mahinmi,2013-14,16.208,Not Successful
Lauri Markkanen,2017-18,29.706,Successful
Kenyon Martin,2009-10,34.241,Successful
Kevin Martin,2011-12,31.6,Successful
TJ McConnell,2019-20,18.676,Not Successful
Doug McDermott,2019-20,19.884,Not Successful
Ben McLemore,2019-20,22.803,Not Successful
Markieff Morris,2017-18,26.959,Successful
Andres Nocioni,2007-08,24.646,Successful
Royce O'Neale,2018-19,20.378,Not Successful
Zaza Pachulia,2017-18,14.087,Not Successful
Patrick Patterson,2016-17,24.6,Successful
Tayshaun Prince,2010-11,32.846,Successful
Luke Ridnour,2011-12,33.019,Successful
Luis Scola,2015-16,21.526,Not Successful
Thabo Sefolosha,2016-17,25.742,Successful
Kurt Thomas,2005-06,26.623,Successful
Anthony Tolliver,2010-11,20.954,Not Successful
Anderson Varejao,2012-13,36.04,Successful
Jake Voskuhl,2003-04,24.333,Successful
Dwyane Wade,2007-08,38.314,Successful
Hakim Warrick,2007-08,23.387,Not Successful
CJ Watson,2008-09,24.455,Successful
Delonte West,2009-10,25,Successful
Corliss Williamson,2004-05,21.208,Not Successful
Trae Young,2018-19,30.901,Successful
Alexis Ajinca,2014-15,14.074,Not Successful
Chris Andersen,2010-11,16.267,Not Successful
Trevor Ariza,2009-10,36.514,Successful
Darrell Armstrong,2006-07,15.741,Not Successful
Gustavo Ayon,2011-12,20.148,Not Successful
JJ Barea,2010-11,20.605,Not Successful
Harrison Barnes,2013-14,28.256,Successful
Marco Belinelli,2016-17,24.027,Successful
Bismack Biyombo,2013-14,13.922,Not Successful
Alec Burks,2013-14,28.115,Successful
Allen Crabbe,2017-18,29.293,Successful
Marquis Daniels,2003-04,18.554,Not Successful
DeMar DeRozan,2010-11,34.768,Successful
Wayne Ellington,2012-13,21.295,Not Successful
Maurice Evans,2005-06,14.238,Not Successful
Evan Fournier,2018-19,31.519,Successful
Randy Foye,2011-12,25.877,Successful
Channing Frye,2007-08,17.205,Not Successful
Eric Gordon,2009-10,35.952,Successful
Eddie Griffin,2004-05,21.314,Not Successful
Maurice Harkless,2017-18,21.424,Not Successful
Al Harrington,2011-12,27.516,Successful
Udonis Haslem,2012-13,18.853,Not Successful
Nene Hilario,2004-05,23.945,Not Successful
Nene Hilario,2013-14,29.434,Successful
George Hill,2017-18,27.045,Successful
Josh Howard,2008-09,31.981,Successful
Juwan Howard,2004-05,26.623,Successful
Andre Iguodala,2017-18,25.344,Successful
Jarrett Jack,2007-08,27.183,Successful
Jim Jackson,2004-05,31.047,Successful
DerMarr Johnson,2004-05,17.352,Not Successful
Ty Lawson,2016-17,25.101,Successful
Courtney Lee,2011-12,30.293,Successful
David Lee,2014-15,18.449,Not Successful
Alex Len,2018-19,20.052,Not Successful
Robin Lopez,2009-10,19.333,Not Successful
Wesley Matthews,2019-20,24.403,Successful
Antonio McDyess,2009-10,21,Not Successful
Marcus Morris,2017-18,26.796,Successful
Dejounte Murray,2017-18,21.519,Not Successful
Shabazz Napier,2017-18,20.743,Not Successful
Travis Outlaw,2007-08,26.659,Successful
Quincy Pondexter,2012-13,21.068,Not Successful
Otto Porter,2018-19,30.054,Successful
Kristaps Porzingis,2017-18,32.354,Successful
Pablo Prigioni,2012-13,16.192,Not Successful
Tayshaun Prince,2009-10,33.959,Successful
Zach Randolph,2016-17,24.466,Successful
Michael Redd,2008-09,36.455,Successful
Nate Robinson,2006-07,21.188,Not Successful
Nate Robinson,2007-08,26.153,Successful
Rajon Rondo,2012-13,37.447,Successful
Quinton Ross,2006-07,20.988,Not Successful
Terry Rozier,2018-19,22.671,Not Successful
Mike Scott,2015-16,15.28,Not Successful
Marcus Smart,2016-17,30.367,Successful
Tony Snell,2018-19,17.622,Not Successful
Kurt Thomas,2010-11,22.654,Not Successful
Marcus Thornton,2012-13,23.972,Not Successful
Anthony Tolliver,2013-14,20.281,Not Successful
Ronny Turiaf,2010-11,17.828,Not Successful
Ekpe Udoh,2017-18,12.857,Not Successful
Noah Vonleh,2018-19,25.324,Successful
Luke Walton,2007-08,23.365,Not Successful
CJ Watson,2013-14,18.937,Not Successful
Mo Williams,2006-07,36.353,Successful
Lorenzen Wright,2003-04,25.754,Successful
Nick Young,2016-17,25.933,Successful
Ivica Zubac,2018-19,17.627,Not Successful
Tony Allen,2016-17,26.958,Successful
Al-Farouq Aminu,2012-13,27.184,Successful
Al-Farouq Aminu,2013-14,25.563,Successful
Ryan Anderson,2009-10,14.46,Not Successful
Joel Anthony,2009-10,16.525,Not Successful
Trevor Ariza,2012-13,26.268,Successful
Deandre Ayton,2019-20,32.526,Successful
Davis Bertans,2017-18,14.104,Not Successful
Tarik Black,2014-15,18.984,Not Successful
Bogdan Bogdanovic,2019-20,28.951,Successful
Trevor Booker,2016-17,24.704,Successful
Avery Bradley,2016-17,33.364,Successful
Corey Brewer,2014-15,26.088,Successful
Shannon Brown,2010-11,19.122,Not Successful
Chase Budinger,2009-10,20.108,Not Successful
Reggie Bullock,2018-19,29.825,Successful
DeMarre Carroll,2012-13,16.833,Not Successful
DeMarre Carroll,2018-19,25.418,Successful
Wilson Chandler,2008-09,33.354,Successful
Wilson Chandler,2012-13,25.093,Successful
Wilson Chandler,2013-14,31.081,Successful
Robert Covington,2016-17,31.627,Successful
Jamal Crawford,2006-07,37.254,Successful
Terence Davis,2019-20,16.792,Not Successful
Sam Dekker,2016-17,18.429,Not Successful
Francisco Elson,2006-07,19.029,Not Successful
James Ennis,2016-17,23.453,Not Successful
James Ennis,2017-18,22.278,Not Successful
Maurice Evans,2009-10,16.671,Not Successful
CJ Miles,2017-18,19.1,Not Successful
Tyreke Evans,2013-14,28.167,Successful
Derek Fisher,2013-14,17.63,Not Successful
Randy Foye,2008-09,35.629,Successful
Langston Galloway,2019-20,25.788,Successful
Rudy Gay,2017-18,21.596,Not Successful
Ryan Gomes,2005-06,22.557,Not Successful
JaMychal Green,2019-20,20.746,Not Successful
Jeff Green,2015-16,28.163,Successful
Tim Hardaway,2013-14,23.148,Not Successful
Josh Hart,2019-20,27,Successful
Alan Henderson,2004-05,15.423,Not Successful
Kirk Hinrich,2012-13,29.4,Successful
Allan Houston,2003-04,35.98,Successful
Bobby Jackson,2003-04,23.7,Not Successful
Stephen Jackson,2004-05,35.412,Successful
Antawn Jamison,2011-12,33.092,Successful
Richard Jefferson,2011-12,27.746,Successful
Jared Jeffries,2005-06,25.338,Successful
Eddie Jones,2006-07,24.906,Successful
Cory Joseph,2017-18,26.951,Successful
Michael Kidd-Gilchrist,2013-14,24.226,Successful
Toni Kukoc,2003-04,20.849,Not Successful
Kyle Kuzma,2018-19,33.057,Successful
Jake Layman,2018-19,18.69,Not Successful
Courtney Lee,2009-10,33.451,Successful
Wesley Matthews,2016-17,34.178,Successful
Luc Mbah a Moute,2016-17,22.338,Not Successful
Jodie Meeks,2014-15,24.367,Successful
CJ Miles,2015-16,22.875,Not Successful
Ronald Murray,2008-09,24.688,Successful
Dikembe Mutombo,2005-06,14.922,Not Successful
Shaquille O'Neal,2009-10,23.396,Not Successful
Zaza Pachulia,2010-11,15.747,Not Successful
Sasha Pavlovic,2006-07,22.896,Not Successful
Dwight Powell,2015-16,14.377,Not Successful
Zach Randolph,2004-05,34.848,Successful
Rodney Rogers,2003-04,20.42,Not Successful
Craig Smith,2008-09,19.73,Not Successful
Ish Smith,2016-17,24.136,Successful
DeShawn Stevenson,2006-07,29.5,Successful
Tristan Thompson,2019-20,30.193,Successful
Ronny Turiaf,2006-07,15.097,Not Successful
Myles Turner,2015-16,22.783,Not Successful
Beno Udrih,2004-05,14.363,Not Successful
Charlie Villanueva,2010-11,21.921,Not Successful
Gerald Wallace,2012-13,30.087,Successful
CJ Watson,2009-10,27.508,Successful
Bonzi Wells,2004-05,21.58,Not Successful
Chris Wilcox,2012-13,13.607,Not Successful
Eric Williams,2003-04,26.563,Successful
Thaddeus Young,2014-15,32.026,Successful
OG Anunoby,2017-18,20.014,Not Successful
Matt Barnes,2008-09,27.039,Successful
Matt Barnes,2010-11,19.245,Not Successful
Aron Baynes,2016-17,15.507,Not Successful
Aron Baynes,2017-18,18.333,Not Successful
Bradley Beal,2012-13,31.161,Successful
Marco Belinelli,2012-13,25.781,Successful
Andray Blatche,2007-08,20.427,Not Successful
Trevor Booker,2011-12,25.22,Successful
Jaylen Brown,2018-19,25.851,Successful
Chase Budinger,2011-12,22.379,Not Successful
Matt Carroll,2007-08,25.2,Successful
Jordan Clarkson,2017-18,23.309,Not Successful
Speedy Claxton,2005-06,28.437,Successful
Torrey Craig,2018-19,20.04,Not Successful
Dante Cunningham,2016-17,24.985,Successful
Eddy Curry,2003-04,29.507,Successful
Luol Deng,2004-05,27.262,Successful
Luol Deng,2008-09,33.98,Successful
Boris Diaw,2007-08,28.146,Successful
DeSagana Diop,2007-08,16.392,Not Successful
Derrick Favors,2011-12,21.169,Not Successful
Rudy Fernandez,2009-10,23.242,Not Successful
Yogi Ferrell,2017-18,27.829,Successful
Jeff Foster,2010-11,16.786,Not Successful
Channing Frye,2015-16,17.143,Not Successful
Jorge Garbajosa,2006-07,28.493,Successful
Francisco Garcia,2010-11,23.897,Not Successful
Marc Gasol,2019-20,26.386,Successful
Pau Gasol,2013-14,31.4,Successful
Manu Ginobili,2016-17,18.71,Not Successful
Joey Graham,2006-07,16.696,Not Successful
Tyler Hansbrough,2013-14,15.281,Not Successful
Juan Hernangomez,2018-19,19.4,Not Successful
Buddy Hield,2019-20,30.778,Successful
Nene Hilario,2014-15,25.269,Successful
Kirk Hinrich,2010-11,29.958,Successful
Ersan Ilyasova,2018-19,18.373,Not Successful
Bobby Jackson,2007-08,19.292,Not Successful
Amir Johnson,2007-08,12.323,Not Successful
James Johnson,2013-14,18.385,Not Successful
Damon Jones,2007-08,19.94,Not Successful
Jumaine Jones,2005-06,27.487,Successful
Terrence Jones,2014-15,26.939,Successful
Tyus Jones,2018-19,22.941,Not Successful
Tyus Jones,2019-20,18.954,Not Successful
Jason Kidd,2011-12,28.729,Successful
Zach LaVine,2016-17,37.213,Successful
David Lee,2015-16,16.418,Not Successful
Alex Len,2016-17,20.26,Not Successful
Meyers Leonard,2018-19,14.393,Not Successful
Rashard Lewis,2010-11,32,Successful
Corey Maggette,2005-06,29.469,Successful
Boban Marjanovic,2018-19,11.741,Not Successful
Antonio McDyess,2010-11,19,Not Successful
Stanislav Medvedenko,2003-04,21.206,Not Successful
Jodie Meeks,2012-13,21.321,Not Successful
Salah Mejri,2016-17,12.397,Not Successful
Brad Miller,2010-11,16.917,Not Successful
Darius Miller,2017-18,23.707,Not Successful
Anthony Morrow,2008-09,22.612,Not Successful
Anthony Morrow,2010-11,32,Successful
Nerlens Noel,2015-16,29.328,Successful
Tony Parker,2016-17,25.19,Successful
Ruben Patterson,2003-04,22.616,Not Successful
Mickael Pietrus,2008-09,24.611,Successful
Zach Randolph,2007-08,32.522,Successful
Zach Randolph,2008-09,35.14,Successful
JJ Redick,2013-14,28.2,Successful
Jason Richardson,2006-07,32.843,Successful
Derrick Rose,2016-17,32.531,Successful
Derrick Rose,2018-19,27.294,Successful
Terrence Ross,2019-20,27.377,Successful
Terry Rozier,2019-20,34.349,Successful
Ricky Rubio,2012-13,29.667,Successful
Thabo Sefolosha,2013-14,25.967,Successful
James Singleton,2008-09,14.258,Not Successful
Craig Smith,2009-10,16.427,Not Successful
Anderson Varejao,2004-05,15.981,Not Successful
Bonzi Wells,2007-08,21.397,Not Successful
Derrick Williams,2012-13,24.564,Successful
Steven Adams,2013-14,14.778,Not Successful
Lou Amundson,2009-10,14.785,Not Successful
Derek Anderson,2006-07,23.8,Not Successful
Carmelo Anthony,2014-15,35.7,Successful
DJ Augustin,2019-20,24.912,Successful
Marco Belinelli,2011-12,29.788,Successful
Marco Belinelli,2014-15,22.387,Not Successful
Jordan Bell,2017-18,14.193,Not Successful
Andris Biedrins,2005-06,14.706,Not Successful
